192.168.1.166,19/Nov/2025:14:34:16,DELETE,/checkout,HTTP/1.1,200,1431
192.168.1.109,19/Nov/2025:00:39:16,PUT,/home,HTTP/1.1,404,4250
192.168.1.186,20/Nov/2025:15:44:16,POST,/products,HTTP/1.1,200,2337
192.168.1.181,20/Nov/2025:23:37:16,GET,/cart,HTTP/1.1,200,1360
192.168.1.52,22/Nov/2025:20:33:16,GET,/checkout,HTTP/1.1,503,4735
192.168.1.250,17/Nov/2025:18:35:16,GET,/checkout,HTTP/1.1,304,4521
192.168.1.158,21/Nov/2025:05:13:16,POST,/checkout,HTTP/1.1,503,1557
192.168.1.251,18/Nov/2025:04:05:16,DELETE,/checkout,HTTP/1.1,404,4086
192.168.1.168,22/Nov/2025:23:47:16,PUT,/checkout,HTTP/1.1,404,3503
192.168.1.253,20/Nov/2025:05:33:16,POST,/cart,HTTP/1.1,503,898
192.168.1.98,22/Nov/2025:22:59:16,POST,/checkout,HTTP/1.1,200,4802
192.168.1.141,24/Nov/2025:01:56:16,PUT,/checkout,HTTP/1.1,304,876
192.168.1.175,22/Nov/2025:13:17:16,GET,/search,HTTP/1.1,500,247
192.168.1.14,21/Nov/2025:10:09:16,DELETE,/product/2,HTTP/1.1,404,632
192.168.1.82,18/Nov/2025:00:21:16,PUT,/products,HTTP/1.1,304,3486
192.168.1.14,20/Nov/2025:23:40:16,PUT,/home,HTTP/1.1,200,514
192.168.1.20,17/Nov/2025:14:15:16,PUT,/cart,HTTP/1.1,404,1816
192.168.1.238,22/Nov/2025:23:59:16,DELETE,/cart,HTTP/1.1,304,3911
192.168.1.230,23/Nov/2025:00:47:16,PUT,/product/2,HTTP/1.1,404,3997
192.168.1.180,20/Nov/2025:03:53:16,DELETE,/checkout,HTTP/1.1,500,4691
192.168.1.172,22/Nov/2025:16:37:16,POST,/search,HTTP/1.1,503,2592
192.168.1.144,22/Nov/2025:09:47:16,PUT,/product/2,HTTP/1.1,404,4946
192.168.1.197,20/Nov/2025:16:49:16,GET,/products,HTTP/1.1,500,4562
192.168.1.179,19/Nov/2025:05:48:16,PUT,/product/2,HTTP/1.1,503,2938
192.168.1.60,17/Nov/2025:22:10:16,PUT,/product/2,HTTP/1.1,304,2398
192.168.1.131,20/Nov/2025:02:28:16,PUT,/product/1,HTTP/1.1,500,3537
192.168.1.123,21/Nov/2025:10:18:16,POST,/product/2,HTTP/1.1,200,2576
192.168.1.94,21/Nov/2025:23:10:16,POST,/home,HTTP/1.1,304,4785
192.168.1.32,24/Nov/2025:00:55:16,DELETE,/search,HTTP/1.1,500,1683
192.168.1.133,23/Nov/2025:21:02:16,GET,/cart,HTTP/1.1,304,3662
192.168.1.99,20/Nov/2025:01:57:16,POST,/product/2,HTTP/1.1,404,369
192.168.1.94,20/Nov/2025:13:19:16,POST,/home,HTTP/1.1,500,3453
192.168.1.11,20/Nov/2025:14:35:16,DELETE,/search,HTTP/1.1,503,1513
192.168.1.229,19/Nov/2025:21:23:16,POST,/product/2,HTTP/1.1,503,2061
192.168.1.195,22/Nov/2025:23:05:16,PUT,/checkout,HTTP/1.1,500,1719
192.168.1.55,23/Nov/2025:21:03:16,PUT,/search,HTTP/1.1,304,1748
192.168.1.118,20/Nov/2025:02:52:16,DELETE,/product/1,HTTP/1.1,404,4252
192.168.1.156,21/Nov/2025:16:46:16,GET,/products,HTTP/1.1,500,4142
192.168.1.196,21/Nov/2025:16:23:16,POST,/product/1,HTTP/1.1,200,4701
192.168.1.58,20/Nov/2025:07:48:16,PUT,/cart,HTTP/1.1,503,2829
192.168.1.223,24/Nov/2025:02:17:16,POST,/search,HTTP/1.1,503,4550
192.168.1.165,18/Nov/2025:12:03:16,DELETE,/home,HTTP/1.1,500,879
192.168.1.168,21/Nov/2025:01:46:16,PUT,/products,HTTP/1.1,503,3657
